,vv_list,vh_list,vv_by_vh
0,"[0.005841741804033518, 0.020421991124749184, 0.02874051220715046, 0.03911407291889191, 0.03361780196428299, 0.04390930011868477, 0.012449905276298523, 0.022403916344046593, 0.01983289234340191, 0.0160574521869421, 0.049253176897764206, 0.022981876507401466, 0.00375958695076406, 0.0034508979879319668]","[0.17518912255764008, 0.32471099495887756, 0.37025031447410583, 0.14559698104858398, 0.12642236053943634, 0.07406239211559296, 0.032946497201919556, 0.02581174299120903, 0.06696200370788574, 0.05363117903470993, 0.02733934484422207, 0.1098664402961731, 0.01553425658494234, 0.023733504116535187]","[29.989193024018647, 15.900065423364323, 12.88252317166393, 3.7223681959814865, 3.760577823432744, 1.6867131089633813, 2.6463251302515025, 1.1521085240111604, 3.376310552614024, 3.3399557046990767, 0.5550777953058924, 4.780568734706667, 4.131905123722519, 6.877486439626127]"
1,"[0.054993245750665665, 0.05291072651743889, 0.04916319251060486, 0.0329040065407753, 0.016737302765250206, 0.03006599470973015, 0.032278597354888916, 0.019253462553024292, 0.03835778683423996, 0.05191802978515625, 0.0374954491853714, 0.01680940017104149, 0.029847171157598495, 0.07251173257827759]","[0.2941001057624817, 0.2624836564064026, 0.2858196198940277, 0.11907738447189331, 0.10929913073778152, 0.0919758677482605, 0.2519395053386688, 0.053834959864616394, 0.060614898800849915, 0.1760823130607605, 0.1373152881860733, 0.0957946851849556, 0.22832080721855164, 0.16345088183879852]","[5.347931400446968, 4.960877948252901, 5.813691204703078, 3.6189326769167227, 6.530271470305665, 3.059132705777224, 7.805156542854241, 2.796118345796461, 1.5802501604900263, 3.3915445903747243, 3.662185443017601, 5.69887587957996, 7.649663213072228, 2.2541301390413016]"
2,"[0.05642203241586685, 0.021209435537457466, 0.03841673955321312, 0.016498835757374763, 0.011690656654536724, 0.019762741401791573, 0.026316149160265923, 0.027867931872606277, 0.03386591747403145, 0.10163144022226334, 0.07113017141819, 0.009090733714401722, 0.016516275703907013, 0.014169979840517044]","[0.3921392858028412, 0.03158337622880936, 0.15238837897777557, 0.01140208262950182, 0.03433346748352051, 0.01521383412182331, 0.07113344967365265, 0.04845496267080307, 0.0684342086315155, 0.575718879699707, 0.08552642166614532, 0.33228546380996704, 0.3532208204269409, 0.3602478504180908]","[6.950109186293063, 1.4891191315785244, 3.96671817416192, 0.6910840738811063, 2.93682968357444, 0.7698240751378812, 2.703034142284587, 1.7387355076188309, 2.0207398392201004, 5.66477143727016, 1.2023930205835802, 36.55210616097508, 21.386226941185335, 25.423314251161692]"
3,"[0.023823164403438568, 0.027058769017457962, 0.012360463850200176, 0.013311849907040596, 0.03311888501048088, 0.012565004639327526, 0.02525237388908863, 0.03133407235145569, 0.029579460620880127, 0.039561085402965546, 0.08256546407938004, 0.016762783750891685, 0.005681403446942568, 0.0017723768251016736]","[0.33549439907073975, 0.12846091389656067, 0.08849494904279709, 0.02730671316385269, 0.057067982852458954, 0.03316112980246544, 0.1289220005273819, 0.06067891791462898, 0.04922129958868027, 0.12230979651212692, 0.14652657508850098, 0.27111661434173584, 0.1610625982284546, 0.023625051602721214]","[14.082696714392629, 4.747478121184278, 7.159516836527452, 2.051308672689455, 1.7231251243633077, 2.6391657428182382, 5.105341822262823, 1.9365155359963935, 1.6640364143061817, 3.091669383342006, 1.7746714891304614, 16.17372259707842, 28.34908658266999, 13.329587290990418]"
4,"[0.03822758048772812, 0.08936841040849686, 0.024604249745607376, 0.031918954104185104, 0.012315995059907436, 0.01584426872432232, 0.032166074961423874, 0.08822128176689148, 0.020272264257073402, 0.019527457654476166, 0.041580889374017715, 0.028519419953227043, 0.09816139191389084, 0.01022174023091793, 0.01730932481586933, 0.0074824383482337, 0.012992126867175102, 0.00954318419098854]","[0.13732333481311798, 0.2205643355846405, 0.15404938161373138, 0.1880827248096466, 0.05578575283288956, 0.05651408061385155, 0.09006191790103912, 0.11811483651399612, 0.06773822009563446, 0.06171359494328499, 0.10790257900953293, 0.15137752890586853, 0.8596712946891785, 0.09305369108915329, 0.0664931982755661, 0.05338998883962631, 0.29725027084350586, 0.27897554636001587]","[3.592258078096304, 2.468034673286188, 6.261088356950774, 5.892509015042753, 4.5295367984102475, 3.566846889380105, 2.799903874160853, 1.338847431689928, 3.3414234955031836, 3.160349700163797, 2.5950041144852727, 5.307875446069154, 8.757733340245414, 9.103507718547931, 3.841466896190231, 7.135373036816204, 22.87926171614867, 29.232962581131726]"
5,"[0.05404840037226677, 0.029304899275302887, 0.022160690277814865, 0.026877200230956078, 0.02427631989121437, 0.035220637917518616, 0.04604906961321831, 0.024311572313308716, 0.040826715528964996, 0.07069434970617294, 0.023915797472000122, 0.011331173591315746, 0.001753757824189961, 0.018338371068239212]","[0.44499799609184265, 0.13176947832107544, 0.21198895573616028, 0.04876783490180969, 0.06397587060928345, 0.07327121496200562, 0.08097593486309052, 0.1063888818025589, 0.030193371698260307, 0.2282182276248932, 0.11583057045936584, 0.14615243673324585, 0.03227410465478897, 0.04573892429471016]","[8.233324076695142, 4.496499956651481, 9.565990638314325, 1.8144685637918812, 2.635319970076535, 2.0803488890120523, 1.7584705954590343, 4.3760592869725325, 0.7395493687666171, 3.228238587290739, 4.843266071097011, 12.898261204404955, 18.40282860588005, 2.4941650555826524]"
6,"[0.030914360657334328, 0.03292436525225639, 0.02932014875113964, 0.013547892682254314, 0.023301957175135612, 0.005982071626931429, 0.01734183356165886, 0.012133024632930756, 0.015166274271905422, 0.06242647022008896, 0.02719946950674057, 0.01096134353429079, 0.00431566359475255, 0.005690577905625105]","[0.11881890147924423, 0.08814369887113571, 0.09992368519306183, 0.03194507211446762, 0.019874973222613335, 0.03166602924466133, 0.05535999312996864, 0.038798194378614426, 0.029437318444252014, 0.20873267948627472, 0.3020975589752197, 0.07487563788890839, 0.030916551128029823, 0.038487840443849564]","[3.843485647213437, 2.677157120442739, 3.4080210861542066, 2.357936607832067, 0.8529314972658586, 5.293488814493647, 3.192280270314917, 3.197734740710128, 1.9409723124144478, 3.343656605128767, 11.106744523100126, 6.830881420208395, 7.163800062085818, 6.763432656954674]"
7,"[0.03291438892483711, 0.042254406958818436, 0.012020502239465714, 0.01789172925055027, 0.027696674689650536, 0.03294304758310318, 0.010262483730912209, 0.01646740362048149, 0.04586435481905937, 0.08459725230932236, 0.00793454796075821, 0.005134750157594681, 0.003031094092875719, 0.002841369016095996]","[0.22937235236167908, 0.03201053664088249, 0.1338375210762024, 0.012199144810438156, 0.02761371247470379, 0.030935557559132576, 0.049591440707445145, 0.0814584493637085, 0.06572926789522171, 0.3428157866001129, 0.056890733540058136, 0.17168930172920227, 0.1866176873445511, 0.022007955238223076]","[6.9687562143557, 0.757566818345842, 11.1341039176206, 0.6818315121811361, 0.9970046146017035, 0.9390617999471225, 4.8323039536781875, 4.946648010885807, 1.4331231335212695, 4.052327673086087, 7.170003108106712, 33.436739171283904, 61.567764518817526, 7.745546288972251]"
8,"[0.011389761231839657, 0.029140017926692963, 0.027512667700648308, 0.02946965955197811, 0.006862673908472061, 0.0589355044066906, 0.024220837280154228, 0.049230191856622696, 0.043440647423267365, 0.07842101156711578, 0.0035378839820623398, 0.011475040577352047, 0.005969373509287834, 0.0036875589285045862]","[0.247055321931839, 0.17210768163204193, 0.0977587178349495, 0.04257684573531151, 0.028568977490067482, 0.1624532788991928, 0.08438319712877274, 0.03530066832900047, 0.09376555681228638, 0.8144132494926453, 0.02505618706345558, 0.05823628976941109, 0.040912430733442307, 0.018325651064515114]","[21.691000970345627, 5.906231151436153, 3.5532256958363186, 1.4447688362403763, 4.1629513322494756, 2.7564586158144504, 3.4839091709646883, 0.7170532349703131, 2.1584751235098847, 10.38514083429845, 7.082252326671711, 5.075039985858556, 6.8537227013498265, 4.9695886682268435]"
9,"[0.013294052332639694, 0.03332860767841339, 0.038895875215530396, 0.026759423315525055, 0.02017385885119438, 0.016119711101055145, 0.0639856830239296, 0.01121892686933279, 0.03255707398056984, 0.029498713091015816, 0.09270153939723969, 0.00480323052033782, 0.00420801155269146, 0.005522429943084717]","[0.29366618394851685, 0.05000627413392067, 0.17648139595985413, 0.04774215444922447, 0.08267968893051147, 0.03557721525430679, 0.0684407651424408, 0.09356609731912613, 0.05627983435988426, 0.07671933621168137, 0.2644508481025696, 0.012586171738803387, 0.015063158236443996, 0.012128407135605812]","[22.090042719893965, 1.5004009353294778, 4.537277924251166, 1.7841249374580443, 4.098357658808368, 2.20706283327733, 1.0696262336817608, 8.34002203676818, 1.7286514873379666, 2.600768920832928, 2.8527125851638657, 2.620355547274083, 3.579638042298041, 2.1962084192291504]"
10,"[0.01159477699548006, 0.018055353313684464, 0.03640977665781975, 0.022390590980648994, 0.020793551579117775, 0.04149952530860901, 0.011500117368996143, 0.031277742236852646, 0.05543425679206848, 0.028205111622810364, 0.0870252251625061, 0.002514901105314493, 0.00315689854323864, 0.006226374767720699]","[0.13467037677764893, 0.16319909691810608, 0.2630322575569153, 0.1965741515159607, 0.5544877648353577, 0.16080844402313232, 0.10726246982812881, 0.16315734386444092, 0.10412032157182693, 0.07722511887550354, 0.24097321927547455, 0.02372855134308338, 0.03843177855014801, 0.01660708151757717]","[11.614744882988855, 9.038820458551463, 7.224220572098008, 8.779319477804286, 26.666332719813486, 3.8749465886004453, 9.327076097266985, 5.216404132655158, 1.8782667541188076, 2.737983097115246, 2.7690042608392504, 9.43518267694112, 12.173903603098097, 2.6672152154529813]"
11,"[0.028953831642866135, 0.019752955064177513, 0.03690004348754883, 0.02552364207804203, 0.017592180520296097, 0.016853980720043182, 0.016830047592520714, 0.01305972971022129, 0.02451288513839245, 0.02812924049794674, 0.05708707496523857, 0.020509203895926476, 0.00748594943434, 0.0016419135499745607]","[0.425798624753952, 0.20419500768184662, 0.2700318694114685, 0.07052227109670639, 0.05386568233370781, 0.019575215876102448, 0.1109783947467804, 0.09198149293661118, 0.061583347618579865, 0.04789431393146515, 0.16759520769119263, 0.06815044581890106, 0.1674119085073471, 0.08249429613351822]","[14.706123528174329, 10.337441006594474, 7.317928216062544, 2.7630175537282216, 3.061910504588273, 1.1614594914555172, 6.594063037355835, 7.043139098401187, 2.512284754360763, 1.7026522253582046, 2.935782010082748, 3.322920097958413, 22.363483747216495, 50.24277687141102]"
12,"[0.011586963199079037, 0.011165277101099491, 0.016814174130558968, 0.020260319113731384, 0.009376566857099533, 0.0596245601773262, 0.017389068379998207, 0.0326923206448555, 0.009437866508960724, 0.02931508794426918, 0.01878366433084011, 0.016730649396777153, 0.018606357276439667, 0.014990738593041897, 0.03772079199552536, 0.032557062804698944, 0.004910796880722046, 0.004241920541971922]","[0.08081086724996567, 0.07632830739021301, 0.40021494030952454, 0.2676762342453003, 0.1450771987438202, 0.1778733879327774, 0.1027553379535675, 0.04793316870927811, 0.02513742260634899, 0.055187154561281204, 0.07863301038742065, 0.07274970412254333, 0.030218590050935745, 0.07912299036979675, 0.06903903931379318, 0.27771633863449097, 0.037668969482183456, 0.021452492102980614]","[6.974292216306403, 6.836221501631755, 23.802235970790427, 13.211846898496448, 15.472315289254722, 2.983223480454593, 5.909191666171256, 1.4661904619738557, 2.663464521614331, 1.882551219569845, 4.186244441044254, 4.348289322024596, 1.6241002793813966, 5.278124882153738, 1.8302648396667536, 8.530141072627973, 7.6706429520752035, 5.057259298168771]"
13,"[0.008448311127722263, 0.004769021645188332, 0.024956149980425835, 0.009406142868101597, 0.031259141862392426, 0.01870128884911537, 0.01594645529985428, 0.030285878106951714, 0.007264856714755297, 0.014367345720529556, 0.019992399960756302, 0.011912149377167225, 0.015070074237883091, 0.019627060741186142, 0.020073609426617622, 0.008635471574962139, 0.00485612079501152, 0.004090889822691679]","[0.020300686359405518, 0.014695975929498672, 0.38347288966178894, 0.24351166188716888, 0.04215912148356438, 0.040796201676130295, 0.02786487527191639, 0.027349652722477913, 0.017676377668976784, 0.02925974689424038, 0.05599123612046242, 0.09430517256259918, 0.052057720720767975, 0.0982780009508133, 0.5494375228881836, 0.074453204870224, 0.01349139679223299, 0.008962676860392094]","[2.4029283548508182, 3.081549429394196, 15.365867329798986, 25.888577847671566, 1.3486973400983093, 2.1814647110838075, 1.74740246330299, 0.9030496862562545, 2.433135072447493, 2.0365450559480176, 2.8006260494172457, 7.916721791900957, 3.4543771914477692, 5.007270433752882, 27.3711374577025, 8.621787961886774, 2.7782251228371644, 2.1908868849699132]"
14,"[0.00501716835424304, 0.003096177475526929, 0.009542716667056084, 0.0074829282239079475, 0.03023681603372097, 0.03355969861149788, 0.02501470036804676, 0.027497565373778343, 0.01772981509566307, 0.02003086544573307, 0.008725157007575035, 0.022203966975212097, 0.036040883511304855, 0.019694505259394646, 0.015801137313246727, 0.08051875978708267, 0.06557527184486389, 0.042977698147296906]","[0.01164826937019825, 0.022554520517587662, 0.1817668378353119, 0.17554180324077606, 0.08151016384363174, 0.06854379177093506, 0.06343443691730499, 0.13125507533550262, 0.09774737805128098, 0.04698701575398445, 0.03472161665558815, 0.03970874100923538, 0.15323662757873535, 0.10478056967258453, 0.107033371925354, 0.22049836814403534, 0.26202431321144104, 0.23598113656044006]","[2.321681982297297, 7.284634261396524, 19.047703518518773, 23.458971940946885, 2.6957257587151124, 2.0424436036934877, 2.5358863381923524, 4.773334422569183, 5.513163985291148, 2.3457306865387344, 3.9794833061964874, 1.7883624603461685, 4.251744481532202, 5.3202945843284, 6.773776456940453, 2.7384719874859407, 3.9957792905735974, 5.490781189622231]"
15,"[0.010034333914518356, 0.04078076034784317, 0.02249823324382305, 0.05783557519316673, 0.03260602429509163, 0.03426229953765869, 0.05991451069712639, 0.06065279617905617, 0.026100248098373413, 0.02511405013501644, 0.0331854447722435, 0.0032618676777929068, 0.0058265626430511475, 0.006234028842300177]","[0.20354042947292328, 0.2525612413883209, 0.27658402919769287, 0.026466630399227142, 0.07583662867546082, 0.051906030625104904, 0.05847799405455589, 0.0783446803689003, 0.029006484895944595, 0.1059848889708519, 0.09151758998632431, 0.010780616663396358, 0.03947044536471367, 0.007422846741974354]","[20.28439866630581, 6.193146945620363, 12.293588843187486, 0.4576185213137497, 2.325847149873986, 1.5149605054399071, 0.9760238942810995, 1.2916911553032944, 1.1113490104238626, 4.2201432425699235, 2.757762947413324, 3.3050441428975743, 6.774224835939378, 1.190698171238415]"
